gene	pval	padj	ctrlFirst	ctrlSecond	objFirst	objSecond	ctrlRatio	objRatio	ratioSD	fisher	fisher.adj	chisqr	chisqr.adj
CARHR024540	0.99145	1	257.920155081268	295.728811248723	208.767115714179	264.659123200146	0.465855028667281	0.440970733250717	0.0206246254867638	0.450989473961441	0.695155337099344	0.462019500822405	0.612858252513221
CARHR024550	0.46782	1	313.519620998194	249.703315859397	846.195841562291	982.415195837751	0.556652793203744	0.462753327118396	0.0702033370031086	0.000113436791866756	0.000564265886588192	0.000117849941896213	0.000507390871999178
CARHR024560	0.99613	1	1497.83159885306	1792.22661594828	2331.00596883104	2650.72224090702	0.455259907595131	0.467911108493332	0.0454967748332121	0.269672222487658	0.469291761267641	0.268341858024205	0.406434998753077
CARHR024570	0.95296	1	874.293465577344	423.902056730227	717.71323608421	296.209045427028	0.673468249238195	0.707858234473817	0.024226308641384	0.0775986128379311	0.172957074346143	0.0842324525710495	0.161230542306821
CARHR024580	0.79769	1	651.92856031507	408.841083117343	560.591238526389	224.840247713364	0.614580709724663	0.71373665093338	0.0714852812201124	1.00373321467571e-05	6.01119690842616e-05	1.14949347203817e-05	5.93040802340034e-05
CARHR024590	0.625	1	510.900133785807	396.196224773582	460.498130202518	230.231019682186	0.563225867863913	0.666684083449184	0.0751520601608321	2.78178529359327e-05	0.000154885186878563	3.40295520175585e-05	0.000161751550703429
CARHR024620	0.915	1	12.4311298022435	93.3749863359297	11.2258377603534	95.2390530889279	0.11748970906379	0.105441687591127	0.124090190521103	0.828866326379563	1	0.951526221728088	1
CARHR024630	0.23049	1	100.554234032145	119.951288560562	172.046867145468	87.3143029941812	0.456016850960588	0.663348592438999	0.104476513322282	5.66792237634162e-06	3.55616152837756e-05	7.57146340012175e-06	4.02263024816284e-05
CARHR024640	0.64748	1	422.98764407749	944.993992316358	534.024247799753	704.865114525991	0.309205644889015	0.431050797625092	0.0616107102058102	1.23288631008534e-10	1.35845337575317e-09	1.50758998903002e-10	1.41983591613154e-09
CARHR024650	0.9269	1	977.765028050779	1091.46347163248	750.548497555632	731.291470712175	0.472526368257758	0.506497674261671	0.0366422754505354	0.048317233209526	0.117116455382285	0.0496281090854226	0.104787738514745
CARHR024660	0.89862	1	17.0607314013386	25.3374037100913	16.9222808503853	11.5910620118327	0.402393439157169	0.593486387483821	0.137413005495965	0.153579386965658	0.30096119436053	0.181227165502968	0.299681930856122
CARHR024670	1	1	0	14.9458646812578	0	7.3445869545275	0	0	NA	1	1	NA	NA
CARHR024680	0.37367	1	7.0527082466107	4.20102142525075	1.92074570843971	6.30915345884739	0.626699632233492	0.233386299078177	0.297817518764347	0.169802333889021	0.325997985652258	0.20755125206304	0.332381742692713
CARHR024700	0.86903	1	13.4671295952448	51.054807434715	2.61608435859637	10.3704166385365	0.208721718769719	0.20144643727929	0.196349380288711	1	1	0.999999999999998	1
CARHR024710	0.84015	1	9.8493965906472	50.2586018618895	20.2717663947013	26.153252222434	0.163861663076747	0.436656074645473	0.263184630026594	0.0042365240622202	0.0145695722468253	0.00393458201341799	0.0118880725196909
CARHR024720	0.96406	1	74.0064935824243	495.356318124471	51.6802277978541	355.751067697626	0.129981256346125	0.12684403080771	0.0557688892689025	0.923219470433556	1	0.962122628935292	1
CARHR024730	1	1	0	313.036914391223	0	428.818499367928	0	0	0	1	1	NA	NA
CARHR024740	0.01666	0.91222	0	122.793192716023	20.2001902449419	106.390145584951	0	0.159571345731211	0.0859673673986072	8.59794490407003e-07	6.03881837110468e-06	1.15783835318484e-05	5.96838103486946e-05
CARHR024750	1	1	2.09653531713232	2.99904046430932	32.7514345005095	6.4740228303505	0.411442279941752	0.83495354112144	NA	0.0501985252410663	0.120854343255429	0.105327424956169	0.193151613416647
CARHR024780	0.99022	1	310.466562847552	138.42508299923	301.786105552709	144.676901396405	0.691629184280971	0.675948736749663	0.127745899085371	0.615290105795766	0.866852515527237	0.665267184322057	0.797899465801716
CARHR024800	0.28589	1	532.281424920838	1450.71082338251	3241.69593049539	3990.46587779331	0.268423351314792	0.44823332447846	0.103466016559582	6.10435339106563e-49	3.68044497713013e-47	5.2382398857187e-47	2.50691133057053e-45
CARHR024810	0.99747	1	34.5242634362668	40.9490233969752	61.5085611340449	62.4751835931021	0.457436861237381	0.496101817777869	0.0357298881186209	0.66235671448815	0.915383717711264	0.701028974524538	0.826885000045612
CARHR024820	1	1	0	0	70.40617006365	17.7205950228126	NA	0.798919261300167	NA	1	1	NA	NA
CARHR024830	0.60322	1	173.94652746813	44.9386475591448	117.660959414914	19.5466778119723	0.794693050575284	0.857539432884118	0.062773578193863	0.16126739335688	0.313026164859114	0.174663402221891	0.290961677457846
CARHR024850	0.63263	1	60.5900773714183	20.5860742181562	44.6300798917263	15.9738934718055	0.74640243698372	0.73642168020921	0.122097356097929	1	1	0.999999999999998	1
CARHR024860	0.87322	1	15.6871622938123	68.0183213576572	19.5956205016589	30.8075803090514	0.187409015628296	0.388777303553607	0.221451688753706	0.0154278588781934	0.0449130018936041	0.0181438517267519	0.0450647483614737
CARHR024870	0.53587	1	105.143622613158	253.506792992095	7.12869042704937	284.487099804891	0.293164647350874	0.0244454884331862	0.292162470130588	2.13637815972728e-22	5.28285954151916e-21	4.98262333915078e-19	8.88372431821531e-18
CARHR024880	1	1	0	5.72644726183144	0	15.2442857736002	0	0	NA	1	1	NA	NA
CARHR024900	1	1	0	3.34890213349731	0	0	0	NA	NA	1	1	NA	NA
CARHR024910	0.97339	1	2801.5164646345	2512.99892384305	2787.72934647974	2755.60941157277	0.527144294418357	0.50289716507586	0.0181823226582357	0.0118697191394198	0.0358331478092113	0.0121447431203666	0.0318202418076627
CARHR024920	0.69225	1	6.10384273428161	4.96944828270323	4.48383941878744	6.94172379624214	0.551222100540769	0.392439246486269	0.211615974669439	0.66992140985949	0.922738562844414	0.739936782938284	0.856858432560961
CARHR024940	0.51231	1	25.0594136229102	59.5993991602208	2.7181754555172	53.5161618204525	0.296004784370228	0.0483365784534415	0.174376377903471	0.000411545390042393	0.00182697213068664	0.000667910562558641	0.00246182032644739
CARHR024950	0.00102	0.105256153846154	3.49182143739122	117.446453096436	77.2272384137887	378.075863606546	0.028872757204871	0.169617202411109	0.176714336623158	5.84873065453897e-06	3.66104271709024e-05	0.00013522787142052	0.00057500913041293
CARHR024960	0.99365	1	665.494025711359	526.418622095119	1862.43920586308	1293.58793498961	0.558341273528805	0.590121416180182	0.0506186010034635	0.0627077088148025	0.144976116113843	0.0628324356156981	0.127544444034723
CARHR024970	0.65905	1	329.503205652683	117.576726631134	375.866499790205	82.4871309335888	0.737011844771209	0.820036047705497	0.10578667923724	0.00233225268626872	0.00861460534470344	0.00338574226843698	0.0104361201514907
CARHR025000	1	1	0	4.69340919044991	0	0	0	NA	NA	1	1	NA	NA
CARHR025010	0.94972	1	343.084671196216	140.174955971214	176.219091040303	80.4569317924118	0.709938616654503	0.686542860901158	0.0849588314259788	0.554198246384608	0.805535206673379	0.563428652365838	0.708634977797589
CARHR025020	0.60206	1	4778.79412237437	847.206757649551	3822.71003982466	1032.51382216801	0.849412260019776	0.787339605440099	0.0626500439549962	1.453854777137e-16	2.59829633109647e-15	1.80441165977571e-16	2.70974652722387e-15
CARHR025030	0.21861	1	635.539076078735	1612.53486726801	2076.33719489475	2127.35594288562	0.282703813172888	0.493931675514996	0.114809367921442	1.08870262533428e-61	8.37559611117381e-60	4.27842497076672e-60	2.73008549187241e-58
CARHR025040	0.82983	1	27.3562113698447	61.4196638820227	43.6203724411707	108.035870544694	0.308149159805318	0.287626619137838	0.108737511184802	0.77149644622977	1	0.849155627916834	0.940140280609738
CARHR025050	0.90695	1	65.7049924041293	85.370888602998	33.4980180850406	64.2083496204889	0.43491384571856	0.342843755956603	0.12246714329509	0.144856066954923	0.287502454341715	0.188230032413506	0.308769934194981
CARHR025060	0.63587	1	14.5468376758796	1.81079437296609	13.6102252670747	3.22538938289895	0.889299724583677	0.808418673748629	0.164143424995558	1	1	0.86853620568778	0.954337901350352
